epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2285.49,1.06633,0.65442,1.33429,0.85991,0.58924,0.7073,0.36992,1.80747,1.27309,1.97793,0.0011882,0.0011882,0.0011882
43,2343.99,1.05651,0.65672,1.31299,0.73074,0.67017,0.66986,0.3332,1.96598,1.17317,2.10281,0.0011684,0.0011684,0.0011684
44,2397.09,1.05895,0.62473,1.31061,0.81837,0.66504,0.70433,0.35377,1.86179,1.08952,1.96952,0.0011486,0.0011486,0.0011486
45,2453.36,1.04546,0.62212,1.30481,0.8163,0.60842,0.68152,0.34299,1.87884,1.20875,2.02036,0.0011288,0.0011288,0.0011288
46,2507.58,1.06038,0.65742,1.31947,0.74915,0.63081,0.64664,0.31239,1.9073,1.23992,2.09802,0.001109,0.001109,0.001109
47,2562.27,1.02346,0.6368,1.3098,0.77908,0.65037,0.67681,0.32324,1.96961,1.20266,2.18224,0.0010892,0.0010892,0.0010892
48,2617.35,1.01638,0.61671,1.28327,0.82118,0.61754,0.66488,0.31307,2.02149,1.21348,2.23665,0.0010694,0.0010694,0.0010694
49,2675.96,1.03624,0.60982,1.2964,0.77098,0.60084,0.63122,0.29849,2.04539,1.32735,2.31715,0.0010496,0.0010496,0.0010496
50,2732.12,1.01891,0.62154,1.29557,0.77459,0.67213,0.70848,0.3374,1.89152,1.16628,2.09127,0.0010298,0.0010298,0.0010298
51,2787.55,1.02058,0.61206,1.27472,0.79157,0.64998,0.71288,0.37008,1.84139,1.06984,1.92622,0.00101,0.00101,0.00101
52,2844.53,1.00587,0.59739,1.28248,0.81306,0.72372,0.78733,0.39551,1.78663,0.99085,1.90736,0.0009902,0.0009902,0.0009902
53,2903.3,0.99151,0.59981,1.27174,0.77575,0.66817,0.6899,0.35713,1.87837,1.14701,2.01996,0.0009704,0.0009704,0.0009704
54,2959.35,0.99381,0.58393,1.27595,0.75576,0.6846,0.74478,0.38745,1.80384,1.12998,1.91548,0.0009506,0.0009506,0.0009506
55,3020.05,0.97251,0.57411,1.25881,0.71768,0.71149,0.71539,0.35932,1.94457,1.09131,2.06014,0.0009308,0.0009308,0.0009308
56,3076.1,0.98455,0.57608,1.26505,0.77518,0.66259,0.72071,0.36447,1.93564,1.11659,2.14536,0.000911,0.000911,0.000911
57,3132.81,0.97197,0.58155,1.24362,0.73453,0.65526,0.69576,0.3508,1.99335,1.12329,2.08972,0.0008912,0.0008912,0.0008912
58,3189.12,0.96134,0.57402,1.24465,0.75607,0.70905,0.74851,0.36614,1.92341,1.02473,2.06754,0.0008714,0.0008714,0.0008714
